# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Nov 30 10:00:55 2018
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN pl_facility:    Discovery Facility
#
loc_rowid	pl_hostname	pl_letter	pl_name	pl_discmethod	pl_orbper	st_dist	st_teff	pl_facility
1	11 Com	b	11 Com b	Radial Velocity	326.03000000	93.37	4742.00	Xinglong Station
2	11 UMi	b	11 UMi b	Radial Velocity	516.21997000	125.72	4213.00	Thueringer Landessternwarte Tautenburg
3	14 And	b	14 And b	Radial Velocity	185.84000000	75.59	4813.00	Okayama Astrophysical Observatory
4	14 Her	b	14 Her b	Radial Velocity	1773.40002000	17.94	5338.00	W. M. Keck Observatory
5	16 Cyg B	b	16 Cyg B b	Radial Velocity	798.50000000	21.41	5750.00	Multiple Observatories
6	18 Del	b	18 Del b	Radial Velocity	993.30000000	76.38	4979.00	Okayama Astrophysical Observatory
7	1RXS J160929.1-210524	b	1RXS J160929.1-210524 b	Imaging		145.00	4060.00	Gemini Observatory
8	24 Boo	b	24 Boo b	Radial Velocity	30.35060000	96.25	4893.00	Okayama Astrophysical Observatory
9	24 Sex	b	24 Sex b	Radial Velocity	452.80000000	72.21	5098.00	Lick Observatory
10	24 Sex	c	24 Sex c	Radial Velocity	883.00000000	72.21	5098.00	Lick Observatory
11	2MASS J01225093-2439505	b	2MASS J01225093-2439505 b	Imaging		36.00	3530.00	W. M. Keck Observatory
12	2MASS J02192210-3925225	b	2MASS J02192210-3925225 b	Imaging		39.40	3064.00	Cerro Tololo Inter-American Observatory
13	2MASS J04414489+2301513	b	2MASS J04414489+2301513 b	Imaging		140.00		Hubble Space Telescope
14	2MASS J12073346-3932539	b	2MASS J12073346-3932539 b	Imaging		52.40		Paranal Observatory
15	2MASS J19383260+4603591	b	2MASS J19383260+4603591 b	Eclipse Timing Variations	416.00000000	396.36		Kepler
16	2MASS J21402931+1625183 A	b	2MASS J21402931+1625183 A b	Imaging	7336.50000000	25.00	2300.00	W. M. Keck Observatory
17	2MASS J22362452+4751425	b	2MASS J22362452+4751425 b	Imaging		74.00	4045.00	W. M. Keck Observatory
18	30 Ari B	b	30 Ari B b	Radial Velocity	335.10001000	44.71	6331.00	Thueringer Landessternwarte Tautenburg
19	4 UMa	b	4 UMa b	Radial Velocity	269.30000000	73.58	4415.00	Thueringer Landessternwarte Tautenburg
20	42 Dra	b	42 Dra b	Radial Velocity	479.10000000	90.86	4200.00	Thueringer Landessternwarte Tautenburg
21	47 UMa	b	47 UMa b	Radial Velocity	1078.00000000	13.80	5892.00	Lick Observatory
22	47 UMa	c	47 UMa c	Radial Velocity	2391.00000000	13.80	5892.00	Lick Observatory
23	47 UMa	d	47 UMa d	Radial Velocity	14002.00000000	13.80	5892.00	Lick Observatory
24	51 Eri	b	51 Eri b	Imaging		29.40		Gemini Observatory
25	51 Peg	b	51 Peg b	Radial Velocity	4.23078500	15.47	5793.00	Haute-Provence Observatory
26	55 Cnc	b	55 Cnc b	Radial Velocity	14.65152000	12.59	5196.00	Lick Observatory
27	55 Cnc	c	55 Cnc c	Radial Velocity	44.41750000	12.59	5196.00	McDonald Observatory
28	55 Cnc	d	55 Cnc d	Radial Velocity	4825.00000000	12.59	5196.00	Lick Observatory
29	55 Cnc	e	55 Cnc e	Radial Velocity	0.73653900	12.59	5196.00	McDonald Observatory
30	55 Cnc	f	55 Cnc f	Radial Velocity	262.00000000	12.59	5196.00	Multiple Observatories
31	6 Lyn	b	6 Lyn b	Radial Velocity	874.77400000	54.74	4978.00	Okayama Astrophysical Observatory
32	61 Vir	b	61 Vir b	Radial Velocity	4.21500000	8.51	5577.00	Multiple Observatories
33	61 Vir	c	61 Vir c	Radial Velocity	38.02100000	8.51	5577.00	Multiple Observatories
34	61 Vir	d	61 Vir d	Radial Velocity	123.01000000	8.51	5577.00	Multiple Observatories
35	7 CMa	b	7 CMa b	Radial Velocity	796.00000000	19.82	4792.00	Anglo-Australian Telescope
36	70 Vir	b	70 Vir b	Radial Velocity	116.68840000	17.91	5531.00	Lick Observatory
37	75 Cet	b	75 Cet b	Radial Velocity	691.90000000	83.15	4846.00	Okayama Astrophysical Observatory
38	8 UMi	b	8 UMi b	Radial Velocity	93.40000000	159.10	4847.00	Bohyunsan Optical Astronomical Observatory
39	81 Cet	b	81 Cet b	Radial Velocity	952.70000000	101.53	4785.00	Okayama Astrophysical Observatory
40	91 Aqr	b	91 Aqr b	Radial Velocity	181.40000000	44.08	4665.00	Lick Observatory
41	AB Pic	b	AB Pic b	Imaging		50.12		Paranal Observatory
42	BD+03 2562	b	BD+03 2562 b	Radial Velocity	481.90000000	2618.00	4095.00	Multiple Observatories
43	BD+14 4559	b	BD+14 4559 b	Radial Velocity	268.94000000	49.42	4864.00	McDonald Observatory
44	BD+15 2375	b	BD+15 2375 b	Radial Velocity	153.22000000	774.00	4649.00	Roque de los Muchachos Observatory
45	BD+15 2940	b	BD+15 2940 b	Radial Velocity	137.48000000	431.61	4796.00	McDonald Observatory
46	BD+20 2457	b	BD+20 2457 b	Radial Velocity	379.63000000	200.00	4259.00	McDonald Observatory
47	BD+20 2457	c	BD+20 2457 c	Radial Velocity	621.99000000	200.00	4259.00	McDonald Observatory
48	BD+20 274	b	BD+20 274 b	Radial Velocity	578.20000000	1383.85	4296.00	McDonald Observatory
49	BD+20 594	b	BD+20 594 b	Transit	41.68550000	180.39	5766.00	K2
50	BD+48 738	b	BD+48 738 b	Radial Velocity	392.60000000	892.17	4414.00	McDonald Observatory
51	BD+48 740	b	BD+48 740 b	Radial Velocity	733.00000000	678.94	4534.00	Multiple Observatories
52	BD+49 828	b	BD+49 828 b	Radial Velocity	2590.00000000	447.59	4943.00	McDonald Observatory
53	BD-06 1339	b	BD-06 1339 b	Radial Velocity	3.87280000	20.28	4324.00	La Silla Observatory
54	BD-06 1339	c	BD-06 1339 c	Radial Velocity	125.94000000	20.28	4324.00	La Silla Observatory
55	BD-08 2823	b	BD-08 2823 b	Radial Velocity	5.60000000	41.38	4816.00	La Silla Observatory
56	BD-08 2823	c	BD-08 2823 c	Radial Velocity	237.60000000	41.38	4816.00	La Silla Observatory
57	BD-10 3166	b	BD-10 3166 b	Radial Velocity	3.48777000	80.00	5393.00	W. M. Keck Observatory
58	BD-11 4672	b	BD-11 4672 b	Radial Velocity	1667.00000000	27.30	4475.00	La Silla Observatory
59	BD-13 2130	b	BD-13 2130 b	Radial Velocity	714.29999000	766.00	4545.00	La Silla Observatory
60	BD-17 63	b	BD-17 63 b	Radial Velocity	655.59998000	34.49	4665.00	La Silla Observatory
61	CFBDSIR J145829+101343	b	CFBDSIR J145829+101343 b	Imaging	10037.50000000	23.10	580.50	W. M. Keck Observatory
62	CHXR 73	b	CHXR 73 b	Imaging		191.05		Hubble Space Telescope
63	CT Cha	b	CT Cha b	Imaging		165.00		Paranal Observatory
64	CoRoT-1	b	CoRoT-1 b	Transit	1.50895570	805.31	5950.00	CoRoT
65	CoRoT-10	b	CoRoT-10 b	Transit	13.24060000	345.00	5075.00	CoRoT
66	CoRoT-11	b	CoRoT-11 b	Transit	2.99433000	560.00	6440.00	CoRoT
67	CoRoT-12	b	CoRoT-12 b	Transit	2.82804200	1150.00	5675.00	CoRoT
68	CoRoT-13	b	CoRoT-13 b	Transit	4.03519000	1060.00	5945.00	CoRoT
69	CoRoT-14	b	CoRoT-14 b	Transit	1.51214000	1340.00	6035.00	CoRoT
70	CoRoT-16	b	CoRoT-16 b	Transit	5.35227000	840.00	5650.00	CoRoT
71	CoRoT-17	b	CoRoT-17 b	Transit	3.76810000	920.00	5740.00	CoRoT
72	CoRoT-18	b	CoRoT-18 b	Transit	1.90006930	870.00	5440.00	CoRoT
73	CoRoT-19	b	CoRoT-19 b	Transit	3.89713000	770.00	6090.00	CoRoT
74	CoRoT-2	b	CoRoT-2 b	Transit	1.74299350	200.00	5625.00	CoRoT
75	CoRoT-20	b	CoRoT-20 b	Transit	9.24285000	864.31		CoRoT
76	CoRoT-20	c	CoRoT-20 c	Radial Velocity	1675.00000000	864.31		Multiple Observatories
77	CoRoT-22	b	CoRoT-22 b	Transit	9.75598000	592.00	5939.00	CoRoT
78	CoRoT-23	b	CoRoT-23 b	Transit	3.63130000	600.00	5900.00	CoRoT
79	CoRoT-24	b	CoRoT-24 b	Transit	5.11340000	600.00	4950.00	CoRoT
80	CoRoT-24	c	CoRoT-24 c	Transit	11.75900000	600.00	4950.00	CoRoT
